#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  135
#! SET periodic_phi true
   -3.141592654  -85.081566286  -47.398290956
   -3.095050540  -87.190596877  -43.772150447
   -3.048508427  -89.185152411  -42.184361320
   -3.001966313  -91.116483905  -40.798178160
   -2.955424200  -92.942025827  -37.369782652
   -2.908882087  -94.549978038  -31.533077842
   -2.862339973  -95.852007489  -24.537342415
   -2.815797860  -96.842344461  -18.522633599
   -2.769255746  -97.601371545  -14.628365776
   -2.722713633  -98.227052193  -12.639542277
   -2.676171520  -98.774374835  -11.045595148
   -2.629629406  -99.225149492   -8.243645548
   -2.583087293  -99.509014085   -3.962733269
   -2.536545180  -99.574614808    0.876997091
   -2.490003066  -99.435222078    4.588411509
   -2.443460953  -99.173416077    6.032795018
   -2.396918839  -98.891080521    5.725581176
   -2.350376726  -98.634218454    5.106043111
   -2.303834613  -98.380175893    5.844994110
   -2.257292499  -98.052428998    8.237271629
   -2.210750386  -97.595910884   11.002527081
   -2.164208272  -97.038796812   12.354250333
   -2.117666159  -96.479370419   10.855275805
   -2.071124046  -96.047647782    7.233645512
   -2.024581932  -95.800683632    3.215368186
   -1.978039819  -95.714076112    0.542610354
   -1.931497706  -95.712084714   -0.566139218
   -1.884955592  -95.752091779   -1.470903189
   -1.838413479  -95.860688785   -3.794462291
   -1.791871365  -96.117328412   -7.575887294
   -1.745329252  -96.560936116  -11.684728534
   -1.698787139  -97.169899938  -14.429198236
   -1.652245025  -97.857551683  -15.039518453
   -1.605702912  -98.526327076  -13.662120430
   -1.559160798  -99.099880741  -10.999948206
   -1.512618685  -99.536478315   -8.067068563
   -1.466076572  -99.843859419   -5.524315394
   -1.419534458 -100.048577960   -3.564039166
   -1.372992345 -100.161845596   -1.441852556
   -1.326450232 -100.141931977    2.497493647
   -1.279908118  -99.875405313    9.151283885
   -1.233366005  -99.249245451   17.617354119
   -1.186823891  -98.235090416   25.356601166
   -1.140281778  -96.926520882   29.913653798
   -1.093739665  -95.493027120   30.901383393
   -1.047197551  -94.069509534   29.884245653
   -1.000655438  -92.692528789   29.218979420
   -0.954113324  -91.307529005   30.403313615
   -0.907571211  -89.824543516   33.196705588
   -0.861029098  -88.189497711   36.875508367
   -0.814486984  -86.380707126   40.559546087
   -0.767944871  -84.407117574   43.887665926
   -0.721402757  -82.293952911   46.331696079
   -0.674860644  -80.100473841   47.302651803
   -0.628318531  -77.908192997   46.212080281
   -0.581776417  -75.809982665   43.563566081
   -0.535234304  -73.845552499   40.676958026
   -0.488692191  -71.993291604   38.937277134
   -0.442150077  -70.190427066   38.354294282
   -0.395607964  -68.412787827   37.569349688
   -0.349065850  -66.713667419   34.747947591
   -0.302523737  -65.210704549   29.183075147
   -0.255981624  -64.009978340   22.058871736
   -0.209439510  -63.138538782   15.439262234
   -0.162897397  -62.533106600   10.590076699
   -0.116355283  -62.121207419    7.083029168
   -0.069813170  -61.871170487    3.242486211
   -0.023271057  -61.826299599   -1.660652545
    0.023271057  -62.025249174   -7.029966907
    0.069813170  -62.457432513  -11.562191545
    0.116355283  -63.074598056  -14.964351343
    0.162897397  -63.849930889  -18.766430094
    0.209439510  -64.846259659  -24.608872613
    0.255981624  -66.166684631  -32.572516140
    0.302523737  -67.871338519  -40.517707594
    0.349065850  -69.889984138  -45.656186626
    0.395607964  -72.046362732  -46.503255098
    0.442150077  -74.159853114  -44.138022933
    0.488692191  -76.140416070  -41.202783622
    0.535234304  -78.009470704  -39.392674669
    0.581776417  -79.816668852  -38.501900638
    0.628318531  -81.576336387  -37.134745413
    0.674860644  -83.252083762  -34.977706665
    0.721402757  -84.831557649  -33.150375347
    0.767944871  -86.351005258  -32.426556777
    0.814486984  -87.844907390  -31.743290962
    0.861029098  -89.265962211  -28.987324419
    0.907571211  -90.488177147  -23.098711402
    0.954113324  -91.378853972  -15.267451639
    1.000655438  -91.896568044   -7.356933682
    1.047197551  -92.070607585   -0.460548053
    1.093739665  -91.938309043    5.993301583
    1.140281778  -91.494172693   12.967507763
    1.186823891  -90.709404312   20.475078952
    1.233366005  -89.581577180   27.612917259
    1.279908118  -88.147996000   33.588641609
    1.326450232  -86.447244484   39.376707225
    1.372992345  -84.447859369   46.671943123
    1.419534458  -82.050785929   56.278509533
    1.466076572  -79.179250534   66.715084915
    1.512618685  -75.869887758   74.429228690
    1.559160798  -72.320802209   76.842519927
    1.605702912  -68.782516425   74.356480205
    1.652245025  -65.415029417   70.095982155
    1.698787139  -62.211053698   67.765149696
    1.745329252  -59.038300664   68.844650773
    1.791871365  -55.763811131   71.620873080
    1.838413479  -52.380066006   73.058033046
    1.884955592  -49.012373134   70.641375522
    1.931497706  -45.862214029   63.916246625
    1.978039819  -43.099315899   54.184939096
    2.024581932  -40.813983947   43.851845715
    2.071124046  -38.990927332   34.585391926
    2.117666159  -37.564947126   26.683721622
    2.164208272  -36.494182564   19.045060594
    2.210750386  -35.808519850    9.899686543
    2.257292499  -35.605486497   -1.794269271
    2.303834613  -35.999868853  -15.478051722
    2.350376726  -37.043421280  -29.421123383
    2.396918839  -38.700982974  -41.416881708
    2.443460953  -40.848924946  -50.504644031
    2.490003066  -43.355718976  -57.021373161
    2.536545180  -46.134005705  -62.298453244
    2.583087293  -49.149627506  -67.235776326
    2.629629406  -52.379867735  -71.527609294
    2.676171520  -55.766600122  -73.520671101
    2.722713633  -59.171989997  -72.300664906
    2.769255746  -62.453376522  -68.466752085
    2.815797860  -65.537095216  -64.213390735
    2.862339973  -68.464024553  -62.068849940
