#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  238
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  92
#! SET periodic_psi true
   -3.141592654   -3.141592654   46.257401567   46.243477250  -15.610835046
   -3.115192715   -3.141592654   47.489677819   45.569944849  -16.028686258
   -3.088792777   -3.141592654   48.683215892   44.494232472  -16.475188146
   -3.062392839   -3.141592654   49.846026459   42.774385688  -16.852791523
   -3.035992901   -3.141592654   50.956391339   40.544813423  -17.138061413
   -3.009592962   -3.141592654   52.012005278   37.644028184  -17.203298949
   -2.983193024   -3.141592654   52.967871788   34.295956924  -17.064349123
   -2.956793086   -3.141592654   53.836987095   30.740648189  -16.885471862
   -2.930393147   -3.141592654   54.607258548   26.874354469  -16.590534306
   -2.903993209   -3.141592654   55.267881016   22.897289929  -16.255084504
   -2.877593271   -3.141592654   55.823941780   19.185122352  -15.945194934
   -2.851193333   -3.141592654   56.294620646   16.345316134  -15.740269642
   -2.824793394   -3.141592654   56.699374802   14.125903504  -15.601824564
   -2.798393456   -3.141592654   57.057091951   12.938317609  -15.605391336
   -2.771993518   -3.141592654   57.400320448   12.199051820  -15.647406660
   -2.745593580   -3.141592654   57.729221690   11.967792629  -15.710499531
   -2.719193641   -3.141592654   58.046577294   11.483284815  -15.764911853
   -2.692793703   -3.141592654   58.347375550   10.457475789  -15.786404515
   -2.666393765   -3.141592654   58.616564798    9.070743284  -15.756240764
   -2.639993827   -3.141592654   58.827497168    6.767257448  -15.632187273
   -2.613593888   -3.141592654   58.967229665    3.896516019  -15.571038902
   -2.587193950   -3.141592654   59.029487339    0.894530996  -15.553321558
   -2.560794012   -3.141592654   59.016979043   -1.823247351  -15.529907150
   -2.534394073   -3.141592654   58.943338790   -3.899668742  -15.527443679
   -2.507994135   -3.141592654   58.817778244   -5.495579861  -15.572405672
   -2.481594197   -3.141592654   58.653058561   -6.382136344  -15.699135064
   -2.455194259   -3.141592654   58.480677329   -6.828410499  -15.773283903
   -2.428794320   -3.141592654   58.298025936   -7.221880464  -15.939912518
   -2.402394382   -3.141592654   58.102531214   -7.752431774  -16.123081788
   -2.375994444   -3.141592654   57.879342029   -8.576036394  -16.361942921
   -2.349594506   -3.141592654   57.639148167   -9.464951962  -16.699942306
   -2.323194567   -3.141592654   57.369590412  -10.962879888  -17.035106631
   -2.296794629   -3.141592654   57.058792403  -12.517134657  -17.418672717
   -2.270394691   -3.141592654   56.707395312  -14.014915617  -17.743157532
   -2.243994753   -3.141592654   56.324738648  -14.845368887  -18.078213755
   -2.217594814   -3.141592654   55.923301833  -14.945603399  -18.448150440
   -2.191194876   -3.141592654   55.533781714  -14.578972047  -18.819584671
   -2.164794938   -3.141592654   55.160956800  -13.655037614  -19.149506293
   -2.138395000   -3.141592654   54.810764068  -12.289697907  -19.427499353
   -2.111995061   -3.141592654   54.499030260  -10.815926582  -19.670409417
   -2.085595123   -3.141592654   54.233247159   -9.359576526  -19.868514620
   -2.059195185   -3.141592654   54.004810248   -7.864378331  -20.024423363
   -2.032795246   -3.141592654   53.805448142   -6.845945796  -20.142851276
   -2.006395308   -3.141592654   53.630595606   -6.588689696  -20.178402027
   -1.979995370   -3.141592654   53.445301681   -6.439206408  -20.218792453
   -1.953595432   -3.141592654   53.272708358   -6.824898149  -20.161184114
   -1.927195493   -3.141592654   53.082592118   -7.479135634  -20.006739528
   -1.900795555   -3.141592654   52.878298801   -8.102978625  -19.778288759
   -1.874395617   -3.141592654   52.653246311   -8.791974639  -19.605470254
   -1.847995679   -3.141592654   52.420761169   -9.074346211  -19.501208260
   -1.821595740   -3.141592654   52.169174371   -9.182038960  -19.513869578
   -1.795195802   -3.141592654   51.927225200   -9.257793213  -19.534858005
   -1.768795864   -3.141592654   51.675912708   -9.384048138  -19.679083899
   -1.742395926   -3.141592654   51.417018335   -9.526891255  -19.849705904
   -1.715995987   -3.141592654   51.169543723   -9.752213580  -20.028721631
   -1.689596049   -3.141592654   50.898023786  -10.278015912  -20.169149687
   -1.663196111   -3.141592654   50.617581718  -10.653645162  -20.310785005
   -1.636796172   -3.141592654   50.322103422  -10.858888843  -20.404535257
   -1.610396234   -3.141592654   50.030694386  -10.772798324  -20.515208450
   -1.583996296   -3.141592654   49.747631171  -10.625363240  -20.580211253
   -1.557596358   -3.141592654   49.470566603  -10.050561961  -20.704551207
   -1.531196419   -3.141592654   49.209265742   -9.127888399  -20.933414634
   -1.504796481   -3.141592654   48.976870409   -8.283120159  -21.271416868
   -1.478396543   -3.141592654   48.766692132   -7.464913492  -21.746674247
   -1.451996605   -3.141592654   48.570158101   -7.009129897  -22.305507901
   -1.425596666   -3.141592654   48.381933966   -7.140502548  -23.082060583
   -1.399196728   -3.141592654   48.173283227   -8.159676300  -23.978686396
   -1.372796790   -3.141592654   47.932478301  -10.158153149  -24.974618765
   -1.346396852   -3.141592654   47.619419963  -12.952392847  -26.033658077
   -1.319996913   -3.141592654   47.241754316  -16.148202922  -27.272854940
   -1.293596975   -3.141592654   46.759383671  -19.740311389  -28.509290879
   -1.267197037   -3.141592654   46.174391473  -23.362345275  -29.670736965
   -1.240797098   -3.141592654   45.508907220  -26.420976498  -30.898817939
   -1.214397160   -3.141592654   44.770315583  -28.932780535  -32.087563546
   -1.187997222   -3.141592654   43.976265230  -30.876468440  -33.276226753
   -1.161597284   -3.141592654   43.136376326  -31.871196911  -34.523059342
   -1.135197345   -3.141592654   42.266254142  -32.534311850  -35.772194988
