#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  18
#! SET periodic_psi true
   -3.141592654   -3.141592654 -110.245111541  -53.080125069   17.511446949
   -2.951193099   -3.141592654 -118.635719092  -34.491369451   19.827891424
   -2.760793544   -3.141592654 -123.252343982  -14.306848786   21.324688146
   -2.570393989   -3.141592654 -124.294386969    2.337022910   22.146665806
   -2.379994435   -3.141592654 -122.801629822   11.987825353   22.652355500
   -2.189594880   -3.141592654 -120.203909587   14.154783494   23.359804969
   -1.999195325   -3.141592654 -117.719300279   11.455444549   24.773328871
   -1.808795770   -3.141592654 -115.857275324    8.423706109   27.131009999
   -1.618396215   -3.141592654 -114.255516136    9.266922037   30.203976525
   -1.427996661   -3.141592654 -111.944836011   15.923824373   33.304530746
   -1.237597106   -3.141592654 -107.876892627   27.269882563   35.517928093
   -1.047197551   -3.141592654 -101.460480971   39.931304962   36.051109340
   -0.856797996   -3.141592654  -92.836546556   49.716973649   34.490143039
   -0.666398442   -3.141592654  -82.904896585   53.183255454   30.869155264
   -0.475998887   -3.141592654  -73.088100965   48.317288704   25.552146863
   -0.285599332   -3.141592654  -65.024967893   34.882019774   19.067405890
   -0.095199777   -3.141592654  -60.228865089   14.455765427   11.960112618
    0.095199777   -3.141592654  -59.725684727   -9.450924620    4.741161109
    0.285599332   -3.141592654  -63.694633818  -31.497496264   -2.100756040
    0.475998887   -3.141592654  -71.190091235  -45.531094509   -8.056003680
    0.666398442   -3.141592654  -80.173562279  -46.526664479  -12.607027197
    0.856797996   -3.141592654  -87.958664178  -33.096326908  -15.332538319
    1.047197551   -3.141592654  -92.066834641   -8.917501355  -16.075777936
    1.237597106   -3.141592654  -91.148402226   18.168813414  -15.056138611
    1.427996661   -3.141592654  -85.529434322   39.089739703  -12.797586118
    1.618396215   -3.141592654  -77.091432537   46.996033102   -9.910151538
    1.808795770   -3.141592654  -68.605944924   39.639463795   -6.820852159
    1.999195325   -3.141592654  -62.807690439   19.531192295   -3.668364635
    2.189594880   -3.141592654  -61.611296568   -7.560512494   -0.372182452
    2.379994435   -3.141592654  -65.687868120  -34.709199846    3.176883358
    2.570393989   -3.141592654  -74.431306543  -55.672177426    6.968766919
    2.760793544   -3.141592654  -86.218967805  -66.230172145   10.820443461
    2.951193099   -3.141592654  -98.882941736  -64.902019660   14.435699839

   -3.141592654   -2.792526803 -102.525469216  -49.062711218   25.790543747
