#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  108.228342503   48.296993735
   -3.031361332  113.010344993   38.250443442
   -2.921130011  116.628595915   27.339491197
   -2.810898690  119.040613830   16.614067067
   -2.700667369  120.331977506    7.111714219
   -2.590436048  120.679979511   -0.403224226
   -2.480204727  120.340029573   -5.389276443
   -2.369973405  119.606745714   -7.600467727
   -2.259742084  118.782562197   -7.186349832
   -2.149510763  118.122847820   -4.648007114
   -2.039279442  117.823280323   -0.818889734
   -1.929048121  117.972534808    3.312003761
   -1.818816799  118.539002862    6.624017951
   -1.708585478  119.372448320    8.183811166
   -1.598354157  120.253963475    7.326697977
   -1.488122836  120.887345642    3.815320378
   -1.377891515  120.992605677   -2.121415885
   -1.267660194  120.341264253   -9.786822948
   -1.157428872  118.794456450  -18.185430671
   -1.047197551  116.337297107  -26.191888835
   -0.936966230  113.077597980  -32.752875443
   -0.826734909  109.214555137  -37.133759312
   -0.716503588  105.002251496  -38.927838821
   -0.606272266  100.732442499  -38.081363924
   -0.496040945   96.702758060  -34.645941765
   -0.385809624   93.177803663  -29.012300773
   -0.275578303   90.377241910  -21.452016533
   -0.165346982   88.490274086  -12.438741927
   -0.055115661   87.656308994   -2.409250020
    0.055115661   87.956235344    8.119385603
    0.165346982   89.418392962   18.547909678
    0.275578303   91.990095505   28.031075193
    0.385809624   95.512372273   35.658192653
    0.496040945   99.714404652   40.430414516
    0.606272266  104.242278557   41.321877709
    0.716503588  108.620172622   37.740990683
    0.826734909  112.353106637   29.357561916
    0.936966230  114.915551738   16.678401582
    1.047197551  115.901040798    0.678868029
    1.157428872  115.009259610  -17.028709853
    1.267660194  112.157098328  -34.563763221
    1.377891515  107.489192437  -49.837881468
    1.488122836  101.343485799  -61.066326665
    1.598354157   94.242800474  -66.967377707
    1.708585478   86.822639072  -66.755468821
    1.818816799   79.762044860  -60.465216299
    1.929048121   73.704079603  -48.753799753
    2.039279442   69.183281961  -32.829250911
    2.149510763   66.579553393  -14.302450299
    2.259742084   66.068866248    5.018521804
    2.369973405   67.653653380   23.383768861
    2.480204727   71.139500384   39.258513143
    2.590436048   76.177219161   51.444113719
    2.700667369   82.319258746   59.232290167
    2.810898690   89.067733297   62.445778946
    2.921130011   95.932833634   61.296319172
    3.031361332  102.436325653   56.312763094
