#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   16.108303791  -53.364493189
   -2.951193099    7.258654708  -38.453830136
   -2.760793544    1.796712955  -18.729040154
   -2.570393989    0.000000000   -1.055172227
   -2.379994435    0.890925754    8.812317805
   -2.189594880    2.730290283    9.003763254
   -1.999195325    3.882683428    2.434400885
   -1.808795770    3.619444815   -4.710978935
   -1.618396215    2.456566560   -6.160341204
   -1.427996661    1.839861263    1.157935190
   -1.237597106    3.353309978   15.575517131
   -1.047197551    7.876562787   31.676892964
   -0.856797996   15.132344537   43.241268988
   -0.666398442   23.799237027   46.023527369
   -0.475998887   32.059450020   39.085422850
   -0.285599332   38.198612709   24.255784512
   -0.095199777   41.013340646    4.762524862
    0.095199777   39.974518095  -15.506056179
    0.285599332   35.343043678  -32.201365081
    0.475998887   28.247888922  -40.585340673
    0.666398442   20.668577660  -36.940653766
    0.856797996   15.019247582  -20.634514276
    1.047197551   13.387420346    4.229798946
    1.237597106   16.680802343   29.682050734
    1.427996661   24.194393191   47.388300033
    1.618396215   33.905578115   52.329808845
    1.808795770   43.296968465   44.390553246
    1.999195325   50.211597521   27.052629263
    2.189594880   53.295309016    4.901671322
    2.379994435   52.028912966  -18.058237337
    2.570393989   46.578317945  -38.504373389
    2.760793544   37.735678690  -53.102019617
    2.951193099   26.934233512  -58.655460833
