#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  108.195665963   48.334202413
   -3.031361332  112.981480365   38.281915430
   -2.921130011  116.602762224   27.362629522
   -2.810898690  119.016777858   16.626898604
   -2.700667369  120.308889223    7.112679164
   -2.590436048  120.656307872   -0.414873122
   -2.480204727  120.314348580   -5.414307960
   -2.369973405  119.577595867   -7.638303163
   -2.259742084  118.748570006   -7.236163534
   -2.149510763  118.082779916   -4.708051780
   -2.039279442  117.776154066   -0.886346448
   -1.929048121  117.917739184    3.241047087
   -1.818816799  118.476411036    6.554384397
   -1.708585478  119.302480507    8.119922397
   -1.598354157  120.177554747    7.274498650
   -1.488122836  120.806021931    3.778927521
   -1.377891515  120.908272558   -2.139326337
   -1.267660194  120.256021418   -9.785453134
   -1.157428872  118.710381089  -18.165976498
   -1.047197551  116.256233858  -26.157307839
   -0.936966230  113.000991469  -32.707361171
   -0.826734909  109.143362033  -37.082107624
   -0.716503588  104.936885096  -38.874479222
   -0.606272266  100.672875771  -38.030022559
   -0.496040945   96.648619016  -34.599103716
   -0.385809624   93.128522989  -28.971057934
   -0.275578303   90.332203023  -21.416171427
   -0.165346982   88.448877847  -12.407650431
   -0.055115661   87.618167446   -2.381024637
    0.055115661   87.921116774    8.146227078
    0.165346982   89.386206135   18.574368815
    0.275578303   91.960838137   28.057244128
    0.385809624   95.485968005   35.683603566
    0.496040945   99.690703209   40.453578532
    0.606272266  104.220940559   41.340893841
    0.716503588  108.600525794   37.752957354
    0.826734909  112.334370003   29.361547585
    0.936966230  114.896766171   16.673412923
    1.047197551  115.881197242    0.664712023
    1.157428872  114.987394480  -17.051336006
    1.267660194  112.132349478  -34.593142452
    1.377891515  107.460954477  -49.872077931
    1.488122836  101.311332870  -61.102788506
    1.598354157   94.206585401  -67.004068956
    1.708585478   86.782454885  -66.790521050
    1.818816799   79.718155239  -60.497179228
    1.929048121   73.656892134  -48.781487437
    2.039279442   69.133328227  -32.851569887
    2.149510763   66.527521157  -14.318474571
    2.259742084   66.015470965    5.010228558
    2.369973405   67.599823248   23.384332452
    2.480204727   71.086256686   39.268666180
    2.590436048   76.125630432   51.463930660
    2.700667369   82.270316089   59.260722096
    2.810898690   89.022314852   62.481045250
    2.921130011   95.891548903   61.335724495
    3.031361332  102.399405167   56.352807349
